0CM_CDT5,0VTYPE,0FISCPER,..._CURRCY,ZPI_SVL
34030,52,2020029,CNY,25749.11
11966,52,2019051,CNY,26442.17
9097,53,2020020,CNY,537.85
214,53,2019046,CNY,1353943.84
11893,53,2020029,CNY,16123.61
1030,53,2018048,CNY,41224.95
34428,52,2018027,CNY,5074.34
3794,53,2019003,CNY,249.9
885,52,2018011,CNY,1150.17
1782,53,2019024,CNY,8606.71
34627,53,2019041,CNY,39.9
11814,52,2018030,CNY,28163.81
11491,53,2018004,CNY,575577.65
4157,53,2020044,CNY,195896.92
5300,52,2019027,CNY,4689.01
12013,52,2019017,CNY,11392.72
34854,52,2018006,CNY,103087.56
34383,52,2020040,CNY,38942.87
11933,53,2020022,CNY,25192.59
10641,53,2019040,CNY,219.8
34290,52,2018047,CNY,749575.06
34007,53,2018022,CNY,30091.77
8217,52,2020015,CNY,604742.9
34805,52,2019044,CNY,15685.39
34644,53,2019031,CNY,99.9
11949,53,2019008,CNY,549.92
10189,52,2020052,CNY,11452.38
69,53,2020011,CNY,137139.03
34079,52,2018008,CNY,37091.43
34338,52,2020010,CNY,10480.68
11505,53,2020033,CNY,1774789.73
34392,53,2019035,CNY,29.9
10641,53,2018050,CNY,1776.7
11788,53,2018046,CNY,283.07
2071,53,2018012,CNY,279.54
9081,53,2020039,CNY,244.67
874,52,2019017,CNY,379100.78408521885
484,52,2019034,CNY,1256463.7329779505
161,52,2018037,CNY,1200160.9525470925
877,52,2019005,CNY,86126.24336082749
900,52,2018027,CNY,465721.678791553
391,52,2020031,CNY,1693444.9417403375
738,52,2019042,CNY,798279.502958642
944,52,2018022,CNY,412987.9327630674
993,52,2020003,CNY,1348347.2405635517
318,52,2018003,CNY,601760.3917076492
2,52,2018004,CNY,322294.4337985122
609,52,2018024,CNY,151882.65637232136
234,52,2019022,CNY,537306.9818135479
210,52,2018014,CNY,1197766.072035798
755,52,2019011,CNY,434625.50993485824
878,52,2020048,CNY,1473699.223835079
831,52,2020026,CNY,1047625.2025783106
10,52,2020033,CNY,1602007.5165519742
359,52,2019043,CNY,945949.0672002945
359,52,2018011,CNY,996209.0272846103
445,52,2020026,CNY,1006930.8911788127
106,52,2019018,CNY,394124.68338939454
591,52,2019023,CNY,1485560.261599069
724,52,2018042,CNY,1708754.769480399
869,52,2019052,CNY,274742.34144718846
432,52,2019033,CNY,652457.1547897563
695,52,2020035,CNY,1406720.1887176435
768,52,2019006,CNY,689999.5581651625
28,52,2020015,CNY,309516.85292342707
276,52,2019036,CNY,1438609.749977659
554,52,2020012,CNY,144540.23651891726
493,52,2020031,CNY,710936.3751034596
477,52,2018028,CNY,1313683.7658065823
821,52,2020047,CNY,1015428.1257974348
42,52,2019018,CNY,576063.0021007715
228,52,2020014,CNY,534668.4046480843
62,52,2018001,CNY,1727664.3996472664
848,52,2018032,CNY,797682.0151950418
396,52,2018043,CNY,1344750.3012569975
836,52,2020016,CNY,83277.13288519385
111,52,2019032,CNY,1514122.9842251986
658,52,2020042,CNY,1096458.1324036852
627,52,2020044,CNY,221023.63490623064
189,52,2019020,CNY,1425352.4038327972
38,52,2020013,CNY,750612.5148520716
746,52,2019001,CNY,1548438.5262753237
675,52,2020010,CNY,1211103.1981680733
722,52,2018034,CNY,652344.1107124495
700,52,2020028,CNY,1143972.406511955
689,52,2018043,CNY,1495307.649381836
736,52,2020033,CNY,1249693.3461199787
565,52,2018017,CNY,1547159.5922290883
94,52,2019025,CNY,440636.62786423427
719,52,2019025,CNY,922360.2256894995
761,52,2020015,CNY,879192.2156611523
947,52,2018006,CNY,1719506.574594973
794,52,2020045,CNY,972680.4262152051
227,52,2020013,CNY,1373391.9325033505
648,52,2019048,CNY,204294.57338113518
988,52,2019035,CNY,207370.77407020412
795,52,2020024,CNY,1069064.238554798
708,52,2019051,CNY,882468.7032716862
811,52,2019026,CNY,298256.4296070851
797,52,2018038,CNY,542832.3332735304
182,52,2019040,CNY,1767819.7604965784
237,52,2020028,CNY,647507.2043269287
610,52,2020035,CNY,1461172.8218610077
399,52,2019027,CNY,1302904.556322093
422,52,2019006,CNY,1212912.0225620877
722,52,2020012,CNY,165471.0053389058
403,52,2018011,CNY,908727.6455453916
718,52,2020008,CNY,693333.1027815142
660,52,2020005,CNY,594134.9919516377
828,52,2019034,CNY,913713.0967613677
714,52,2018042,CNY,591715.5056955714
206,52,2019036,CNY,112275.30989800667
993,52,2019034,CNY,1411334.9808144923
360,52,2018028,CNY,509831.1739969847
779,52,2020043,CNY,1358910.5531201898
945,52,2018037,CNY,1003453.7721311217
939,52,2019050,CNY,1063735.8748505742
856,52,2020035,CNY,1493060.2375445375
955,52,2020050,CNY,397323.56465307384
119,52,2018021,CNY,467400.21480216866
256,52,2020016,CNY,240710.36334673926
33,52,2019003,CNY,140623.85816210456
142,52,2019038,CNY,1495426.2359394052
638,52,2019046,CNY,1592828.9564756178
254,52,2019044,CNY,1534720.5576357015
811,52,2019028,CNY,1634524.0986973697
820,52,2019050,CNY,611348.574440803
956,52,2018013,CNY,1341066.0461120347
782,52,2018013,CNY,7207.878793975264
331,52,2020006,CNY,551200.4383427876
480,52,2018047,CNY,1344827.2443191796
797,52,2020027,CNY,651776.3820590677
211,52,2019047,CNY,534150.6190002478
197,52,2019002,CNY,250077.92544204244
183,52,2020020,CNY,339019.08851960616
406,52,2020041,CNY,1177792.604726492
261,52,2019039,CNY,779551.628895525
216,52,2020029,CNY,1412728.752720149
242,52,2020019,CNY,1495834.1512937588
520,52,2020003,CNY,951110.7723153724
722,52,2018046,CNY,1028884.9864511499
244,52,2018008,CNY,984999.3872507276
965,52,2019041,CNY,1765712.7163309744
731,52,2019039,CNY,1707249.656528299
904,52,2018019,CNY,273435.964495314
889,52,2020049,CNY,683973.6219025475
574,52,2019023,CNY,1619448.5120508738
947,52,2018040,CNY,773430.5120228194
78,52,2019042,CNY,853568.946723644
541,52,2019005,CNY,1058712.8408240338
442,52,2019023,CNY,1711079.8986510471
782,52,2019019,CNY,1533484.3997021015
194,52,2020037,CNY,7214.012297406583
822,52,2020034,CNY,459924.88951535395
594,52,2019021,CNY,41452.59258920797
249,52,2019003,CNY,303122.2916724815
526,52,2019032,CNY,1647502.3293790151
572,52,2020017,CNY,1266549.133266972
269,52,2020027,CNY,594167.259112013
899,52,2018030,CNY,1556843.8944706926
961,52,2020023,CNY,223998.75162215516
414,52,2019021,CNY,800196.2844881599
742,52,2018050,CNY,814074.8862553538
549,52,2018017,CNY,203252.7725750342
193,52,2018021,CNY,1768344.1559236192
468,52,2020032,CNY,203610.52477770075
86,52,2018007,CNY,1365143.6275553722
557,52,2019014,CNY,22415.288762365166
414,52,2018047,CNY,1057964.8850450283
67,52,2019020,CNY,1161214.95218089
510,52,2020043,CNY,436242.1404254993
672,52,2019021,CNY,731201.3979465349
971,52,2020034,CNY,147382.76708938685
75,52,2020031,CNY,717975.3145660899
128,52,2020019,CNY,723776.6697198241
494,52,2019028,CNY,997855.267450716
196,52,2020012,CNY,778201.0671048315
265,52,2018047,CNY,1145735.5452579146
44,52,2020040,CNY,894838.7438369839
151,52,2020040,CNY,1584517.549165265
508,52,2018035,CNY,839610.8822803593
405,52,2018019,CNY,134203.6716533078
687,52,2020034,CNY,1163999.768721249
474,52,2018007,CNY,1080228.084415124
772,52,2018002,CNY,996981.3018493045
624,52,2020029,CNY,1388967.7672113907
955,52,2020032,CNY,935324.4120487856
222,52,2018019,CNY,811530.9774966134
410,52,2019040,CNY,458986.880754834
625,52,2020041,CNY,476197.39534700615
874,52,2019034,CNY,1234836.0985479092
552,52,2018031,CNY,122852.97886939293
182,52,2020020,CNY,681152.3680964613
610,52,2020019,CNY,1667967.6633559188
502,52,2019004,CNY,310994.8596868555
361,52,2018040,CNY,1255628.7659664867
752,52,2018047,CNY,830292.4931370368
27,52,2019040,CNY,1043024.3948266904
218,52,2018019,CNY,1684754.365465367
139,52,2019038,CNY,224402.99135102768
102,52,2018045,CNY,1009245.8421934647
210,52,2018026,CNY,1101312.59656734
421,52,2019042,CNY,596344.6012831184
862,52,2019014,CNY,1094420.8015472116
1000,52,2019009,CNY,339083.6026452099
